CMDLINE /root/miniforge3/envs/3.12.0/bin/python3 minhash.py
MEM 697.609375 1713692264.2223
MEM 698.125000 1713692264.3225
MEM 699.414062 1713692264.4227
MEM 699.929688 1713692264.5228
MEM 701.218750 1713692264.6230
MEM 701.992188 1713692264.7232
MEM 703.023438 1713692264.8234
MEM 704.054688 1713692264.9236
MEM 704.570312 1713692265.0238
MEM 705.859375 1713692265.1240
MEM 706.632812 1713692265.2242
MEM 707.664062 1713692265.3244
MEM 708.437500 1713692265.4246
MEM 709.468750 1713692265.5248
MEM 710.500000 1713692265.6250
MEM 711.273438 1713692265.7252
MEM 712.304688 1713692265.8254
MEM 713.078125 1713692265.9256
MEM 714.109375 1713692266.0258
MEM 715.140625 1713692266.1261
MEM 715.914062 1713692266.2263
MEM 716.945312 1713692266.3264
MEM 717.718750 1713692266.4266
MEM 718.750000 1713692266.5268
MEM 719.781250 1713692266.6270
MEM 720.554688 1713692266.7272
MEM 721.585938 1713692266.8274
MEM 722.359375 1713692266.9276
MEM 723.390625 1713692267.0278
MEM 724.164062 1713692267.1280
MEM 725.195312 1713692267.2282
MEM 726.484375 1713692267.3284
MEM 727.000000 1713692267.4286
MEM 728.031250 1713692267.5288
MEM 728.804688 1713692267.6290
MEM 729.835938 1713692267.7292
MEM 753.296875 1713692267.8295
MEM 771.343750 1713692267.9297
MEM 772.117188 1713692268.0299
MEM 773.148438 1713692268.1301
MEM 774.179688 1713692268.2303
MEM 774.695312 1713692268.3305
MEM 775.984375 1713692268.4307
